Индекс;Станция (RU);Страна;Широта;Долгота;H над ур.моря, м;Станция (EN)
HKGA;Гарисса;Кения;-0,46;39,63;147;Garissa
HKIS;;Кения;0,34;37,60;1065;Isiolo
HKJK;Найроби / Кениятта;Кения;-1,31;36,92;1624;Nairobi / Kenyatta Airport
HKKG;Какамега;Кения;0,28;34,78;1530;Kakamega
HKKI;Кисуму;Кения;-0,08;34,72;1157;Kisumu
HKKR;Керичо;Кения;-0,36;35,35;2184;Kericho
HKKS;Киси;Кения;-0,66;34,78;1493;Kisii
HKKT;Китале;Кения;1,01;35,00;1875;Kitale
HKLK;;Кения;4,20;34,34;639;Lokichogio
HKLO;Лодвар;Кения;3,11;35,61;515;Lodwar
HKLU;Ламу;Кения;-2,25;40,91;6;Lamu
HKMA;Мандера;Кения;3,93;41,86;231;Mandera
HKMB;Марсабит;Кения;2,30;37,90;1345;Marsabit
HKME;Меру;Кения;0,08;37,65;1554;Meru
HKML;Малинди;Кения;-3,23;40,10;23;Malindi
HKMO;Момбаса;Кения;-4,02;39,59;60;Mombasa
HKMU;Макинду;Кения;-2,28;37,83;1000;Makindu
HKMY;Мояле;Кения;3,53;39,03;1097;Moyale
HKNA;Найроби / Кениятта;Кения;-1,31;36,91;1624;Nairobi / Kenyatta
HKNC;Найроби / Дагоретти;Кения;-1,30;36,75;1798;Nairobi / Dagoretti
HKNI;Ньери;Кения;-0,50;36,96;1759;Nyeri
HKNK;Накуру;Кения;-0,26;36,10;1901;Nakuru
HKNO;Нарок;Кения;-1,13;35,83;1890;Narok
HKNW;Найроби / Вильсон;Кения;-1,32;36,81;1687;Nairobi / Wilson
HKRE;;Кения;-1,27;36,86;1639;Nairobi/Eastleigh
HKVO;Вои;Кения;-3,40;38,56;579;Voi
HKWJ;Ваджир;Кения;1,73;40,09;234;Wajir
HLAM;;Ливия;29,49;21,10;43;Amal
HLBD;;Ливия;28,48;19,00;135;Beda/M-3
HLDB;;Ливия;28,97;17,58;121;Eddib
HLFL;;Ливия;28,78;22,06;60;Bu Attifel
HLGD;;Ливия;31,06;16,59;81;Sirte Intl
HLGL;;Ливия;28,66;21,44;99;Giallo/Warehouse 59-E
HLGT;Гат;Ливия;25,13;10,14;699;Ghat
HLHM;;Ливия;30,70;12,48;650;Hamada Nc-5
HLKF;Куфра;Ливия;24,17;23,31;416;Kufra
HLLB;Бенина;Ливия;32,09;20,27;131;Benina
HLLM;;Ливия;32,89;13,27;10;Mitiga/Tripoli
HLLQ;;Ливия;32,79;21,96;657;Labraq/El Beida Intl
HLLS;Сабха;Ливия;26,99;14,46;434;Sebha
HLLT;Триполи;Ливия;32,66;13,15;80;Tripoli International Airport
HLMB;;Ливия;30,38;19,57;15;Marsa Brega S-21
HLML;;Ливия;27,97;22,35;93;Messla
HLNF;;Ливия;30,50;18,53;12;Ras Lanuf
HLNM;;Ливия;29,51;12,94;623;Hamada Nc-8
HLNR;;Ливия;29,21;21,59;39;Nafoora
HLON;Хун;Ливия;29,13;15,96;198;Hon
HLSA;;Ливия;27,65;22,50;121;Sarir C-4
HLSD;;Ливия;30,62;18,35;5;Essider
HLTD;Гадамис;Ливия;30,15;9,71;341;Ghadames
HLTS;;Ливия;28,60;19,30;164;Tebesty V-9
HLWA;;Ливия;28,29;19,94;146;Waha 59-A
HLZA;;Ливия;28,59;17,28;335;Zella
HLZG;;Ливия;29,04;20,78;100;Oxy 103a
HLZT;;Ливия;28,95;19,77;150;Zelten
HLZU;;Ливия;30,87;20,06;6;Zueitina
HLZW;;Ливия;32,97;12,01;0;Zwara
HRYG;Гисеньи;Руанда;-1,66;29,25;1554;Gisenyi
HRYI;Бутаре;Руанда;-2,60;29,73;1768;Butare
HRYR;Кигали;Руанда;-1,96;30,13;1490;Kigali
HRYU;Рухенгери;Руанда;-1,50;29,63;1860;Ruhengeri
HRZA;Камембе;Руанда;-2,45;28,90;1582;Kamembe
HSAK;;Судан;7,78;33,00;406;Akobo
HSAT;Атбара;Судан;17,70;34,05;364;Atbara
HSAW;;Судан;8,76;27,39;424;Aweil
HSBR;;Судан;6,19;31,56;424;Bor
HSBT;;Судан;9,21;29,81;0;Bentiu
HSDB;;Судан;18,02;30,95;256;Eddebba
HSDL;;Судан;12,08;29,68;672;Dilling
HSDN;Донгола;Судан;19,15;30,43;235;Dongola
HSDZ;Дамазин;Судан;11,78;34,33;481;Damazine
HSFS;Эль-Фашер;Судан;13,61;25,32;729;El Fasher
HSGF;Гедареф;Судан;14,13;35,31;579;Gedaref
HSGN;Генейна;Судан;13,48;22,47;795;Genina
HSGO;;Судан;8,86;28,11;499;Gogrial
HSKA;Кассала;Судан;15,38;36,32;509;Kassala
HSKI;Кости;Судан;13,18;32,73;392;Kosti
HSKP;;Судан;4,78;33,58;676;Kapoeta
HSLI;Кадугли;Судан;11,13;29,69;557;Kadugli
HSMD;;Судан;4,91;29,46;579;Maridi
HSMK;;Судан;6,83;29,66;420;Rumbek
HSMN;;Судан;18,44;31,84;267;Merowi New
HSMR;;Судан;18,45;31,81;257;Merowe
HSNA;;Судан;8,63;33,08;397;Nasir
HSND;Шенди;Судан;16,64;33,41;363;Shendi
HSNH;;Судан;12,66;28,33;595;En Nahud
HSNL;Ньяла;Судан;12,06;24,89;655;Nyala
HSNM;;Судан;3,61;32,13;627;Nimuli
HSNN;;Судан;12,05;24,95;640;Nyala
HSNR;;Судан;13,55;33,61;418;Sennar
HSOB;Эль-Обейд;Судан;13,15;30,23;582;El Obeid
HSPA;;Судан;7,19;34,09;441;Pachala
HSPI;;Судан;6,78;33,09;412;Pibor
HSPN;Порт-Судан-Нью;Судан;19,43;37,23;43;Port Sudan New
HSRJ;Рага;Судан;8,46;25,68;731;Raga
HSRN;;Судан;11,75;32,79;381;Renk
HSSJ;Джуба;Судан;4,87;31,60;461;Juba
HSSM;Малакаль;Судан;9,55;31,65;393;Malakal
HSSP;Порт-Судан;Судан;19,58;37,21;2;Port Sudan
HSSS;Хартум;Судан;15,59;32,55;384;Khartoum
HSSW;;Судан;21,80;31,52;284;Wadi Halfa
HSTO;;Судан;7,26;28,98;430;Tong
HSTR;;Судан;4,40;32,58;624;Torit
HSWW;;Судан;7,72;27,97;467;Wau
HSYA;;Судан;4,56;28,38;723;Yambio
HSYE;;Судан;4,08;30,64;847;Yei
HSYL;;Судан;6,56;30,50;434;Yirol
HSZA;;Судан;12,89;23,48;900;Zalingei
HTAR;Аруша;Объединенная Республика Танзания;-3,36;36,62;1386;Arusha
HTBU;Букоба;Объединенная Республика Танзания;-1,33;31,81;1137;Bukoba
HTDA;Дар-Эс-Салам;Объединенная Республика Танзания;-6,87;39,20;55;Dar Es Salaam Airport
HTDO;Додома;Объединенная Республика Танзания;-6,17;35,74;1119;Dodoma
HTIR;Иринга;Объединенная Республика Танзания;-7,66;35,75;1428;Iringa
HTKA;Кигома;Объединенная Республика Танзания;-4,88;29,63;885;Kigoma
HTKJ;Килиманджаро;Объединенная Республика Танзания;-3,42;37,07;893;Kilimanjaro Airport
HTLM;;Объединенная Республика Танзания;-3,37;35,81;1265;Lake Manyara
HTMB;Мбея;Объединенная Республика Танзания;-8,93;33,46;1707;Mbeya
HTMG;Морогоро;Объединенная Республика Танзания;-6,83;37,65;526;Morogoro
HTMO;Момбо;Объединенная Республика Танзания;-4,88;38,28;411;Mombo
HTMS;Моши;Объединенная Республика Танзания;-3,35;37,33;831;Moshi
HTMT;Мтвара;Объединенная Республика Танзания;-10,33;40,18;113;Mtwara
HTMU;Мусома;Объединенная Республика Танзания;-1,50;33,80;1147;Musoma
HTMW;Мванза;Объединенная Республика Танзания;-2,44;32,93;1146;Mwanza
HTNA;Начингвеа;Объединенная Республика Танзания;-10,35;38,75;463;Nachingwea
HTPE;Пемба / Каруме;Объединенная Республика Танзания;-5,25;39,80;24;Pemba / Karume Airport
HTSE;Саме;Объединенная Республика Танзания;-4,08;37,71;872;Same
HTSO;Сонгеа;Объединенная Республика Танзания;-10,68;35,58;1067;Songea
HTTB;Табора;Объединенная Республика Танзания;-5,08;32,83;1190;Tabora Airport
HTTG;Танга;Объединенная Республика Танзания;-5,08;39,06;35;Tanga
HTZA;Занзибар;Объединенная Республика Танзания;-6,21;39,22;16;Zanzibar / Kisauni
HUAR;Аруа;Уганда;3,05;30,91;1211;Arua
HUEN;Энтеббе;Уганда;0,04;32,44;1153;Entebbe Airport
HUGU;Гулу;Уганда;2,79;32,27;1069;Gulu
HUJI;Джинджа;Уганда;0,45;33,18;1173;Jinja
HUKB;Кабале;Уганда;-1,25;29,98;1869;Kabale
HUKS;Касесе;Уганда;0,18;30,10;961;Kasese
HUMA;Мбарара;Уганда;-0,61;30,65;1413;Mbarara
HUMI;Масинди;Уганда;1,68;31,71;1147;Masindi
HUSO;Сороти;Уганда;1,72;33,61;1126;Soroti
HUTO;Тороро;Уганда;0,68;34,16;1171;Tororo
K01R;Клейборн-Рэйндж;Соединенные Штаты Америки;31,13;267,43;67;Claiborne Range, La. Airways Facilities Sector
K1K5;Элкхарт;Соединенные Штаты Америки;37,00;258,11;1102;Elkhart / Elkhart-Morton County A., Ks
K1V4;Сент-Джонсбари;Соединенные Штаты Америки;44,41;287,98;210;Saint Johnsbury, Saint Johnsbury
K2DP;Дэар-Кантри;Соединенные Штаты Америки;35,66;284,10;3;Dare County Gunnery Range, Nc.
K2PJ;Пойнтсетт-Рэйндж;Соединенные Штаты Америки;33,85;279,51;68;Poinsett Range, Sumpter Sc.
K3B1;Гринвилле;Соединенные Штаты Америки;45,46;290,41;306;Greenville, Greenville Municipal Airport
K3RN;Грэинг-Аф-Рэйндж;Соединенные Штаты Америки;44,83;275,45;387;Graying Af Range, Mi.
K3SE;Спенсер;Соединенные Штаты Америки;43,16;264,85;408;Spencer, Ia.
K44W;Даймонд-Шоалс;Соединенные Штаты Америки;35,15;284,70;1;Diamond Shoals Coast Guard Station
K4CB;Каддлбэк;Соединенные Штаты Америки;35,26;242,56;864;Cuddleback Gunnery Range, Ca.
K4MR;Мелроуз;Соединенные Штаты Америки;34,30;256,20;1326;Melrose Gunnery Range, Nm.
K4OM;Омак;Соединенные Штаты Америки;48,41;240,46;382;Omak, Wa.
K4SD;;Соединенные Штаты Америки;39,66;240,12;1539;Reno/Reno Stead
K4SU;Сьюпириор-Велли;Соединенные Штаты Америки;36,33;242,89;962;Superior Valley Gunnery Range, Ca
K50Q;о. Фараллон;Соединенные Штаты Америки;37,70;237,00;12;Farallon Island
K87Q;Пойнт-Пьедрас-Бланка;Соединенные Штаты Америки;35,66;238,71;27;Point Piedras Blanca, Point Piedras Blanca
K9B2;Ньюпорт;Соединенные Штаты Америки;44,93;287,79;233;Newport, Vt.
K9V9;Чамберлен;Соединенные Штаты Америки;43,80;260,68;519;Chamberlain, Chamberlain Municipal Airport
KAAF;;Соединенные Штаты Америки;29,72;274,97;6;Apalachicola Mun
KAAO;;Соединенные Штаты Америки;37,74;262,77;433;Wichita/Colonel J Jabara
KAAS;;Соединенные Штаты Америки;37,35;274,69;280;Campbellsville/Taylor County
KABE;Лехай-Велли;Соединенные Штаты Америки;40,65;284,55;119;Allentown, Lehigh Valley International Airport
KABI;Абилин;Соединенные Штаты Америки;32,41;260,31;545;Abilene, Abilene Regional Airport
KABQ;Альбукерке;Соединенные Штаты Америки;35,04;253,39;1632;Albuquerque, Albuquerque International Airport
KABR;Абердин;Соединенные Штаты Америки;45,44;261,57;396;Aberdeen, Aberdeen Regional Airport
KABY;Саутвест-Георгиа;Соединенные Штаты Америки;31,53;275,80;60;Albany, Southwest Georgia Regional Airport
KACB;;Соединенные Штаты Америки;44,98;274,80;189;Bellaire/Antrim County
KACJ;;Соединенные Штаты Америки;32,11;275,81;142;Americus Souther Fld
KACK;;Соединенные Штаты Америки;41,25;289,93;14;Nantucket Mem
KACP;;Соединенные Штаты Америки;30,75;267,31;32;Oakdale/Allen Parish
KACT;Уэйко;Соединенные Штаты Америки;31,61;262,76;157;Waco, Waco Regional Airport
KACV;;Соединенные Штаты Америки;40,97;235,89;67;Arcata
KACY;Атлантик-Сити;Соединенные Штаты Америки;39,45;285,42;22;Atlantic City, Atlantic City International Airport
KADG;;Соединенные Штаты Америки;41,86;275,92;243;Adrian/Lenawee County
KADH;;Соединенные Штаты Америки;34,80;263,32;309;Ada Mun
KADM;;Соединенные Штаты Америки;34,30;262,98;232;Ardmore Mun
KADS;;Соединенные Штаты Америки;32,96;263,16;196;Dallas/Addison
KADT;;Соединенные Штаты Америки;39,84;258,95;911;Atwood-Rawlins Co City-Co
KADW;Кэмп-Спрингс / Эндрюс АФБ;Соединенные Штаты Америки;38,81;283,13;85;Camp Springs / Andrewsafb, Md.
KAEG;;Соединенные Штаты Америки;35,14;253,20;1779;Albuquerke/Double Eagle Ii
KAEX;Александрия;Соединенные Штаты Америки;31,32;267,45;27;Alexandria, Alexandria International Airport
KAFF;Эйр-Форс-Академи;Соединенные Штаты Америки;38,96;255,18;1999;Air Force Academy, Co.
KAFJ;;Соединенные Штаты Америки;40,13;279,70;360;Washington County
KAFP;;Соединенные Штаты Америки;35,02;279,92;91;Wadesboro/Anson County
KAFW;;Соединенные Штаты Америки;32,98;262,68;220;Fort Worth Alliance
KAGC;;Соединенные Штаты Америки;40,35;280,06;381;Pittsburgh / Allegheny Co
KAGR;Авон-Парк;Соединенные Штаты Америки;27,65;278,66;20;Avon Park Gunnery Range, Fl.
KAGS;Аугуста, Буш-Филд;Соединенные Штаты Америки;33,36;278,03;43;Augusta, Bush Field
KAHN;Атенс;Соединенные Штаты Америки;33,94;276,67;246;Athens, Athens Airport
KAIA;Аллианс;Соединенные Штаты Америки;42,05;257,19;1198;Alliance Muni
KAID;;Соединенные Штаты Америки;40,10;274,38;280;Anderson Mun-Darlington Fld
KAIK;;Соединенные Штаты Америки;33,64;278,31;160;Aiken Mun
KAIV;;Соединенные Штаты Америки;33,10;271,80;45;Aliceville/George Downer
KAIZ;;Соединенные Штаты Америки;38,09;267,45;264;Kaiser/Lake Ozark/Lee C Fine
KAJR;;Соединенные Штаты Америки;34,49;276,44;441;Cornelia/Habersham County
KAKO;;Соединенные Штаты Америки;40,17;256,77;1436;Akron/Akron-Washington
KAKR;;Соединенные Штаты Америки;41,03;278,53;325;Akron Fulton Intl
KALB;Олбани;Соединенные Штаты Америки;42,74;286,19;86;Albany, Albany County Airport
KALI;;Соединенные Штаты Америки;27,74;261,97;54;Alice Intl
KALM;;Соединенные Штаты Америки;32,83;254,00;1280;Alamogordo White Sands Rgnl
KALN;;Соединенные Штаты Америки;38,89;269,95;165;Alton / St. Louis Rgnl
KALO;Уотерлоо;Соединенные Штаты Америки;42,55;267,59;266;Waterloo, Waterloo Municipal Airport
KALS;Сан-Луис-Велли;Соединенные Штаты Америки;37,43;254,13;2297;Alamosa, San Luis Valley Regional Airport
KALW;;Соединенные Штаты Америки;46,09;241,71;363;Walla Walla Rgnl
KALX;;Соединенные Штаты Америки;32,91;274,03;209;Alexander City/Thomas C Russel
KAMA;Амарилло;Соединенные Штаты Америки;35,21;258,29;1099;Amarillo, Amarillo International Airport
KAMG;;Соединенные Штаты Америки;31,53;277,49;60;Alma/Bacon County
KAMN;;Соединенные Штаты Америки;43,32;275,31;229;Alma/Gratiot Community
KAMW;;Соединенные Штаты Америки;41,99;266,37;291;Ames Mun
KANB;;Соединенные Штаты Америки;33,58;274,14;186;Anniston Metropolitan
KAND;;Соединенные Штаты Америки;34,49;277,29;238;Anderson Rgnl
KANE;;Соединенные Штаты Америки;45,14;266,78;277;Minneapolis/Anoka Co-Blaine Ja
KANJ;;Соединенные Штаты Америки;46,47;275,63;218;Sault Ste Marie Muni/Sanderson
KANW;;Соединенные Штаты Америки;42,57;260,00;789;Ainsworth Muni
